央视频道,#genre#
CCTV-1 ,http://iptv.tvfix.org/hls/cctv1hd.m3u8
CCTV-2 ,http://iptv.tvfix.org/hls/cctv2hd.m3u8
CCTV-3 ,http://iptv.tvfix.org/hls/cctv3hd.m3u8
CCTV-4 ,http://iptv.tvfix.org/hls/cctv4hd.m3u8
CCTV-5 ,http://iptv.tvfix.org/hls/cctv5hd.m3u8
CCTV-5+ ,http://iptv.tvfix.org/hls/cctv5phd.m3u8
CCTV-6 ,http://iptv.tvfix.org/hls/cctv6hd.m3u8
CCTV-7 ,http://iptv.tvfix.org/hls/cctv7hd.m3u8
CCTV-8 ,http://iptv.tvfix.org/hls/cctv8hd.m3u8
CCTV-9 ,http://iptv.tvfix.org/hls/cctv9hd.m3u8
CCTV-10 ,http://iptv.tvfix.org/hls/cctv10hd.m3u8
CCTV-11 ,http://iptv.tvfix.org/hls/cctv11hd.m3u8
CCTV-12 ,http://iptv.tvfix.org/hls/cctv12hd.m3u8
CCTV-13 ,http://iptv.tvfix.org/hls/cctv13hd.m3u8
CCTV-14 ,http://iptv.tvfix.org/hls/cctv14hd.m3u8
CCTV-15 ,http://iptv.tvfix.org/hls/cctv15hd.m3u8
CCTV-16 ,http://iptv.tvfix.org/hls/cctv16hd.m3u8
CCTV-17 ,http://iptv.tvfix.org/hls/cctv17hd.m3u8
老故事 ,http://iptv.tvfix.org/hls/lgstv.m3u8
CETV-1 ,http://iptv.tvfix.org/hls/cetv1.m3u8
CETV-3 ,http://iptv.tvfix.org/hls/cetv3.m3u8
CETV-4 ,http://iptv.tvfix.org/hls/cetv4.m3u8

卫视频道,#genre#
内蒙古卫视,http://live9.m2oplus.nmtv.cn/nmgws/playlist.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8#https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s1/index.m3u8#http://ott.js.chinamobile.com:80/PLTV/4/224/3221228115/index.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel24/2300.m3u8#rtsp://60.22.151.120:554/PLTV/88888888/224/3221226469/10000100000000060000000000133834_0.smil#http://117.148.179.168:80/PLTV/88888888/224/3221231732/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226092/10000100000000060000000002296930_0.smil
上海卫视,http://111.40.196.35/PLTV/88888888/224/3221225509/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226041/10000100000000060000000002296882_0.smil#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226261/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8#http://117.148.179.160:80/PLTV/88888888/224/3221231738/index.m3u8
重庆卫视,rtsp://60.22.151.120:554/PLTV/88888888/224/3221226644/10000100000000060000000000623270_0.smil#http://ott.js.chinamobile.com:80/PLTV/4/224/3221228133/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226202/1.m3u8#http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel56/2300.m3u8#http://39.135.138.59:18890/TVOD/88888910/224/3221225734/index.m3u8#rtsp://183.252.166.199/PLTV/88888888/224/3221226753/45949735.smil
天津卫视,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel28/2300.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226204/1.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225698/index.m3u8#http://117.169.120.140:8080/live/hdtianjinstv/.m3u8#http://117.148.179.146:80/PLTV/88888888/224/3221228905/index.m3u8
新疆卫视,http://180.97.123.180/4309-txt.otvstream.otvcloud.com/otv/skcc/live/channel64/2300.m3u8
